CallPrice,Implied Volatility,Strike,Maturity
34.8561,0.308593,185,0.3836
30.9583,0.301953,190,0.3836
27.1971,0.294333,195,0.3836
23.6261,0.2867,200,0.3836
20.2977,0.279716,205,0.3836
17.2517,0.273689,210,0.3836
14.5097,0.268635,215,0.3836
12.0755,0.264389,220,0.3836
9.93965,0.260712,225,0.3836
8.0852,0.25738,230,0.3836
6.49322,0.254243,235,0.3836
5.14532,0.251246,240,0.3836
36.2103,0.30511,185,0.4603
32.3873,0.298814,190,0.4603
28.7048,0.291936,195,0.4603
25.2069,0.285149,200,0.4603
21.9333,0.278881,205,0.4603
18.9135,0.27332,210,0.4603
16.1645,0.26848,215,0.4603
13.6922,0.264279,220,0.4603
11.4939,0.260612,225,0.4603
9.56184,0.257391,230,0.4603
7.88453,0.254572,235,0.4603
6.44798,0.252151,240,0.4603
37.4867,0.301979,185,0.537
33.7312,0.296111,190,0.537
30.1172,0.289879,195,0.537
26.6802,0.283757,200,0.537
23.4518,0.278045,205,0.537
20.4558,0.272888,210,0.537
17.7077,0.268323,215,0.537
15.2153,0.264331,220,0.537
12.9797,0.260874,225,0.537
10.9964,0.257913,230,0.537
9.25654,0.255417,235,0.537
7.74652,0.253356,240,0.537
38.9956,0.298567,185,0.6329
35.3146,0.293209,190,0.6329
31.7739,0.287636,195,0.6329
28.4017,0.28218,200,0.6329
25.2232,0.277058,205,0.6329
22.2584,0.272393,210,0.6329
19.5215,0.268238,215,0.6329
17.0202,0.264602,220,0.6329
14.7566,0.261469,225,0.6329
12.727,0.258804,230,0.6329
10.9226,0.256557,235,0.6329
9.33,0.254662,240,0.6329
40.1451,0.296189,185,0.7096
36.5172,0.291196,190,0.7096
33.028,0.286067,195,0.7096
29.702,0.281064,200,0.7096
23.622,0.272075,210,0.7096
18.3959,0.264885,220,0.7096
14.0563,0.25947,230,0.7096
10.5542,0.255434,240,0.7096
42.3226,0.292213,185,0.863
38.7887,0.287858,190,0.863
35.3906,0.283471,195,0.863
32.1469,0.279228,200,0.863
26.1848,0.271595,210,0.863
20.9876,0.265366,220,0.863
16.5722,0.26044,230,0.863
12.897,0.256461,240,0.863
43.5816,0.290229,185,0.9562
40.099,0.286209,190,0.9562
36.75,0.282197,195,0.9562
33.5506,0.278329,200,0.9562
30.5143,0.274694,205,0.9562
27.6516,0.271344,210,0.9562
24.9693,0.268297,215,0.9562
22.4706,0.265546,220,0.9562
20.1552,0.263069,225,0.9562
18.0196,0.260832,230,0.9562
16.0584,0.258797,235,0.9562
14.2642,0.256924,240,0.9562
